recid,year,amount,dept_code,cofog_level1_code,cofog_level2_code,cofog_level3_code,pog,id_or_non_id,cap_or_cur,cg_lg_or_pc,nuts_region
2009-32,2009,52219.81,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
2010-32,2010,52219.81,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East Midlands
2004-33,2004,62805.98,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2005-33,2005,53205.64,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2006-33,2006,57871.22,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2007-33,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2008-33,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2009-33,2009,62805.98,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2010-33,2010,62805.98,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_West Midlands
2004-34,2004,62498.88,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2005-34,2005,52945.48,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2006-34,2006,57588.25,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2007-34,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2008-34,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2009-34,2009,62498.88,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2010-34,2010,62498.88,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_East
2004-35,2004,90530.53,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2005-35,2005,76692.29,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2006-35,2006,83417.42,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2007-35,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2008-35,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2009-35,2009,90530.53,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2010-35,2010,90530.53,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_London
2004-36,2004,90760.04,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_South East
2005-36,2005,76886.72,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_South East
2006-36,2006,83628.89,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_South East
2007-36,2007,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_South East
2008-36,2008,0.00,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_South East
2009-36,2009,90760.04,Dept020,04,04.3,,P31CLI1,ID,CUR,CG,ENGLAND_South East
